x_1,x_2,f_1,f_2,g_1,g_2,feasible_label_01,binary_constraint
-20,-20,927,-621,575,50,0,1
-20,20,847,-541,575,-70,0,1
20,-20,767,-261,575,90,0,1
20,20,687,-181,575,-30,0,1
-2.9851820173871531,-14.629546254008691,271.13475585267736,-271.14935426268147,-2.0650647248886571,50.903456744638923,0,1
8.6573956795551545,18.697257985670866,359.51385744555091,-235.27637909539487,199.53795613511323,-37.434378277457441,0,1
19.869468147238152,-10.825553364672601,461.16160424587838,38.981500944423885,286.98837010548579,62.346128241255954,0,1
-10.950882429118444,-3.4441319349633375,189.47566434820982,-118.30825051742698,-93.216129238190632,9.3815133757715685,0,1
-14.623993247363144,3.4483331609493426,284.35148675537965,-137.6102744932725,0.7521800878257352,-14.96899273021117,0,1
5.9527315619414765,10.99123007055621,117.44876512355495,-46.250094265313351,-68.757848487566719,-17.020958649727149,1,-1
5.4240312535117319,14.094445599481389,185.18849558280266,-122.64822427617194,3.073511795812351,-26.85930554493244,0,1
1.2338799784465948,10.102163383768385,85.436318152238925,-71.744458458794583,-121.42383516643793,-19.07261017285856,1,-1
-1.6291530040780451,10.145782892507622,98.816096243893796,-98.307721753587501,-119.40894998740315,-22.066501681600911,1,-1
-2.551899056445432,7.5722618957246155,65.91441144606253,-66.16171793400261,-161.14866098826997,-15.268684743619279,1,-1
-2.3770589539584037,11.119942454662528,123.57188037210847,-123.80676587130668,-95.696470534400078,-25.736886317945988,1,-1
-2.1655688586303654,6.435153021179822,48.892852279631228,-49.031008091313439,-178.89911711253058,-11.471027922169831,1,-1
-2.4904950057367223,-1.6924874607846583,29.414034123029065,-29.663943778113119,-215.93292082148713,12.586967376617253,0,1
-2.2588990880976247,11.871923917747186,138.3369511158821,-138.52882146616193,-78.954797401014048,-27.874670841339181,1,-1
-2.265836429240867,12.549413829394226,153.58632024364107,-153.78148766577038,-62.378197814533962,-29.91407791742354,1,-1
-2.1294841256584469,13.217051247104052,168.30898031843179,-168.42169830529272,-45.774853689993876,-31.780637866970608,1,-1
-2.4608886702192017,8.7705406264577093,82.280829355519813,-82.529299659402582,-142.02164407244157,-18.772510549592329,1,-1
-2.7215870423256092,13.548949270246688,181.76951198548196,-181.97041116815535,-34.018937643327092,-33.368434853065672,1,-1
-2.545134327616065,10.385925423318817,110.75384210817644,-111.0018050006471,-110.65484435565018,-23.702910597572512,1,-1
-4.2388078826822717,13.233692683036423,190.58596045999738,-187.81250760711939,-31.901885704658866,-33.939885931791544,1,-1
-2.2729819920114664,14.5028189892368,202.58449576014823,-202.78295858419713,-9.501794229424064,-35.781438959721868,1,-1
-1.93576295281418,15.094854134867973,216.1551431039494,-216.08677965853241,6.6017995624286243,-37.220325357418098,0,1
-2.9398012230690931,14.609266447474518,211.61376936179059,-211.6703442459775,-2.9269026355367487,-36.767600565492643,1,-1
-2.5387865979828668,5.1119155351645809,39.508433150356709,-39.756928750173621,-192.42288217124559,-7.8745332034766093,1,-1
-3.4914894658443494,14.87575429961904,224.69301393687573,-223.95996257599541,8.478564672736411,-38.118752364701464,0,1
-2.4925588293158576,6.9582013780820695,57.683248496642939,-57.933193125621784,-170.37058406445635,-13.367162963562066,1,-1
-2.8137226657107419,3.8741063233382356,33.432413060230161,-33.583991149249506,-202.07426495593634,-4.4360416357254486,1,-1
-2.329737818076314,2.8053131308533388,24.005785073711728,-24.226795863118312,-211.70253993688686,-0.7456772106363303,1,-1
-1.5678294642155812,2.0094148553857636,15.748325435998304,-15.129383528213694,-218.50416271009249,2.403925969627128,0,1
-2.2415434375948244,9.4100912450339216,90.720325482799936,-90.903525688149642,-131.42566577751154,-20.471817172696589,1,-1
-1.8677213225952762,8.5591780126143782,74.100440455650812,-73.950664129750152,-148.25208880950152,-17.545255360438411,1,-1
2.1541869237504656,-15.168288586480546,263.43732942317268,-242.02587350196288,9.7174999452135182,57.659052683192108,0,1
-2.7077613225120665,14.993270269055252,219.97462949256618,-220.18146472543421,7.130124740628446,-37.687572129677818,0,1
-2.6534859189166262,14.099345422549717,195.24778169682958,-195.47422376952389,-19.167471133737507,-34.951522186565782,1,-1
-1.6694812839574595,3.0976579091117529,19.865261596973177,-19.425500259276227,-212.61734772063315,-0.96245501129271815,1,-1
-1.6656668778460855,12.43694909899132,146.24091835225624,-145.79480659353314,-67.547850961145457,-28.976514174820046,1,-1
