x_1,x_2,f_1,f_2,g_1,g_2,feasible_label_01,binary_constraint
0,0,0,50,0,-65.299999999999997,1,-1
0,3,36,29,9,-92.299999999999997,0,1
5,0,100,25,-25,-10.300000000000001,1,-1
5,3,136,4,-16,-37.299999999999997,1,-1
1.9771948818027174,2.0732263392237846,32.830268217112469,17.703354844013099,-11.564381763749058,-54.311806980777355,1,-1
2.9107505507899178,2.7715554209006119,64.615952880189511,9.3309285031420792,-12.953517287851801,-51.511311932812362,1,-1
1.6035844868305902,0.85991539948205042,13.243750802680406,28.675938837543697,-12.7249071676358,-48.113078308272968,1,-1
4.2825868925872905,1.2400121205389116,79.512722206575489,14.652190420381855,-22.947688374229031,-24.096862993480691,1,-1
3.8167404222800627,0.041229669583470574,58.276829346882216,25.98950641808522,-23.598196886080075,-19.048738597740375,1,-1
0.47879813289287582,1.8643420334715568,14.820075479322254,30.273617206186238,-1.0829624590981943,-72.530300944373892,1,-1
