ProblemId,Dimension,Replicate,FinalFeasibleCount,FinalParetoCount,FinalNormalizedHV,NormalizedHVAUC,PrimarySelections,ChallengerSelections,FallbackSelections,ChallengerOverrideRate,FallbackRate,MeanAcquisitionSeconds,WallTimeSeconds,GAEligibleIterations,GAImprovedOverSeedCount
WELDEDBEAM,4,1,92,13,1.18607124985797,1.18092084486222,130,0,0,0,0,0.264956899230769,69.1045390000045,130,130
WELDEDBEAM,4,2,109,16,1.20185425886233,1.18617059511746,129,1,0,0.00769230769230769,0,0.263897400769231,68.8522190000042,130,130
WELDEDBEAM,4,3,106,14,1.20294784670141,1.19621453436311,130,0,0,0,0,0.255105582307692,67.0853580000028,130,130
WELDEDBEAM,4,4,95,16,1.20221067684573,1.19243530211271,126,4,0,0.0307692307692308,0,0.24571511,66.0086469999999,130,130
WELDEDBEAM,4,5,86,14,1.19596672278596,1.18996898838015,130,0,0,0,0,0.245291616923077,65.8067939999998,130,130
CF1_D4,4,1,27,9,1.07279059058042,0.998864207880384,127,3,0,0.0230769230769231,0,0.227926807692308,63.3010910000056,130,129
CF1_D4,4,2,40,14,1.11298221376478,1.04986163260822,129,1,0,0.00769230769230769,0,0.227038546153846,63.1818969999999,130,130
CF1_D4,4,3,45,11,1.0848512121556,1.01251690076272,129,1,0,0.00769230769230769,0,0.235645813846154,65.1607969999984,130,130
CF1_D4,4,4,42,12,1.08304435168738,1.00285792477081,126,4,0,0.0307692307692308,0,0.234401133076923,64.2663669999987,130,130
CF1_D4,4,5,36,11,1.09265722390532,1.00325875045729,127,3,0,0.0230769230769231,0,0.231535610769231,64.4327669999972,130,130
CF1_D10,10,1,84,10,0.937087149144968,0.913461937429144,130,0,0,0,0,0.330675956923077,77.3161590000018,130,130
CF1_D10,10,2,82,10,0.963182613610109,0.909524821295031,130,0,0,0,0,0.32695571,75.3445729999989,130,130
CF1_D10,10,3,86,15,0.994158321256438,0.951833465412595,130,0,0,0,0,0.327837105384615,75.736625,130,130
CF1_D10,10,4,82,18,0.971397739225359,0.946049244477965,130,0,0,0,0,0.355893462307692,80.7021599999964,130,130
CF1_D10,10,5,80,8,0.925691278597082,0.878101173475523,130,0,0,0,0,0.334563293076923,76.8563479999974,130,130
C2DTLZ2_D4_R02,4,1,74,36,0.500647089789511,0.439491343397028,127,2,1,0.0155038759689922,0.00769230769230769,0.196960396153846,58.8965669999942,129,118
C2DTLZ2_D4_R02,4,2,74,29,0.497130858859476,0.474819678076775,123,7,0,0.0538461538461538,0,0.202627524615385,59.2629069999978,130,113
C2DTLZ2_D4_R02,4,3,79,31,0.628391571445774,0.588746282784772,129,1,0,0.00769230769230769,0,0.214187879230769,60.8790169999972,130,129
C2DTLZ2_D4_R02,4,4,71,33,0.62757842701154,0.592346820772529,127,3,0,0.0230769230769231,0,0.213458342307692,61.7598959999979,130,127
C2DTLZ2_D4_R02,4,5,67,39,0.503966079834021,0.400492243085407,115,5,10,0.0416666666666667,0.0769230769230769,0.186678166923077,57.8261670000032,120,113
C2DTLZ2_D6_R02,6,1,71,16,0.360773503532578,0.343025209960317,88,4,38,0.0434782608695652,0.292307692307692,0.184401410769231,57.5241050000042,92,84
C2DTLZ2_D6_R02,6,2,0,0,0,0,0,0,130,0,1,0.00871962384615385,15.2261099999994,0,0
C2DTLZ2_D6_R02,6,3,50,5,0.291506830289567,0.123222282729233,55,0,75,0,0.576923076923077,0.134190098461538,44.9021740000024,55,55
C2DTLZ2_D6_R02,6,4,0,0,0,0,0,0,130,0,1,0.00917237615384615,15.9156719999984,0,0
C2DTLZ2_D6_R02,6,5,9,1,0.262014785593893,0.0149444867781194,9,0,121,0,0.930769230769231,0.02964218,20.316263000004,9,9
MW7_D4,4,1,68,14,0.499039942358937,0.477235128680725,123,6,1,0.0465116279069767,0.00769230769230769,0.174483876153846,57.1218859999925,129,94
MW7_D4,4,2,46,18,0.758302009491018,0.675839013970438,127,3,0,0.0230769230769231,0,0.241159705384615,65.9932349999994,130,130
MW7_D4,4,3,48,12,0.498312348280356,0.388225663532355,102,6,22,0.0555555555555556,0.169230769230769,0.162803824615385,54.6745439999998,108,96
MW7_D4,4,4,22,10,0.67830802776088,0.389865430217433,96,4,30,0.04,0.230769230769231,0.158046799230769,54.0264240000024,100,91
MW7_D4,4,5,34,20,0.747586951753721,0.684160413008476,130,0,0,0,0,0.23816478,65.1193320000023,130,130
MW7_D6,6,1,8,5,0.503274699346169,0.105546473987791,22,0,108,0,0.830769230769231,0.0631431815384615,30.9625349999964,22,22
MW7_D6,6,2,65,12,0.49645577819573,0.46713654012743,117,2,11,0.0168067226890756,0.0846153846153846,0.228494803846154,63.4046710000038,119,108
MW7_D6,6,3,12,4,0.412866640762248,0.060098787157975,21,0,109,0,0.838461538461538,0.0619762838461538,27.7222430000007,21,21
MW7_D6,6,4,31,7,0.462522905215841,0.423097820249667,95,3,32,0.0306122448979592,0.246153846153846,0.192911120769231,58.6723669999987,98,97
MW7_D6,6,5,30,13,0.708239093611593,0.475092406925655,86,5,39,0.0549450549450549,0.3,0.183875085384615,57.7172419999987,91,85
